year,geo_name,geo,income
2014,"Montgomery County, TX","05000US48339",68840.0
2014,"Moore County","05000US48341",48149.0
2014,"Morris County","05000US48343",39387.0
2014,"Motley County","05000US48345",34853.0
2014,"Nacogdoches County","05000US48347",39126.0
2014,"Navarro County","05000US48349",40976.0
2014,"Newton County","05000US48351",36890.0
2014,"Nolan County","05000US48353",37342.0
2014,"Nueces County, TX","05000US48355",49368.0
2014,"Ochiltree County","05000US48357",51115.0
2014,"Oldham County","05000US48359",51250.0
2014,"Orange County","05000US48361",48766.0
2014,"Palo Pinto County","05000US48363",41370.0
2014,"Panola County","05000US48365",51794.0
2014,"Parker County, TX","05000US48367",64979.0
2014,"Parmer County","05000US48369",46308.0
2014,"Pecos County","05000US48371",49421.0
2014,"Polk County","05000US48373",39412.0
2014,"Potter County, TX","05000US48375",37758.0
2014,"Presidio County","05000US48377",30983.0
2014,"Rains County","05000US48379",46531.0
2014,"Randall County, TX","05000US48381",60895.0
2014,"Reagan County","05000US48383",52692.0
2014,"Real County","05000US48385",37019.0
2014,"Red River County","05000US48387",31344.0
2014,"Reeves County","05000US48389",44950.0
2014,"Refugio County","05000US48391",44688.0
2014,"Roberts County","05000US48393",73182.0
2014,"Robertson County","05000US48395",43371.0
2014,"Rockwall County","05000US48397",86597.0
2014,"Runnels County","05000US48399",38684.0
2014,"Rusk County","05000US48401",46924.0
2014,"Sabine County","05000US48403",33951.0
2014,"San Augustine County","05000US48405",29293.0
2014,"San Jacinto County","05000US48407",46969.0
2014,"San Patricio County","05000US48409",51760.0
2014,"San Saba County","05000US48411",38065.0
2014,"Schleicher County","05000US48413",44643.0
2014,"Scurry County","05000US48415",50829.0
2014,"Shackelford County","05000US48417",50857.0
2014,"Shelby County","05000US48419",36250.0
2014,"Sherman County","05000US48421",49219.0
2014,"Smith County, TX","05000US48423",46669.0
2014,"Somervell County","05000US48425",51190.0
2014,"Starr County","05000US48427",25906.0
2014,"Stephens County","05000US48429",43082.0
2014,"Sterling County","05000US48431",50509.0
2014,"Stonewall County","05000US48433",42321.0
2014,"Sutton County","05000US48435",48986.0
2014,"Swisher County","05000US48437",37833.0
2014,"Tarrant County, TX","05000US48439",57727.0
2014,"Taylor County, TX","05000US48441",44695.0
2014,"Terrell County","05000US48443",40781.0
2014,"Terry County","05000US48445",39494.0
2014,"Throckmorton County","05000US48447",40833.0
2014,"Titus County","05000US48449",42856.0
2014,"Tom Green County, TX","05000US48451",45114.0
2014,"Travis County, TX","05000US48453",59620.0
2014,"Trinity County","05000US48455",35223.0
2014,"Tyler County","05000US48457",41630.0
2014,"Upshur County","05000US48459",46834.0
2014,"Upton County","05000US48461",50982.0
2014,"Uvalde County","05000US48463",37078.0
2014,"Val Verde County","05000US48465",42735.0
2014,"Van Zandt County","05000US48467",42579.0
2014,"Victoria County","05000US48469",50663.0
2014,"Walker County","05000US48471",38903.0
2014,"Waller County","05000US48473",50939.0
2014,"Ward County","05000US48475",45938.0
2014,"Washington County","05000US48477",49236.0
2014,"Webb County, TX","05000US48479",38679.0
2014,"Wharton County","05000US48481",41992.0
2014,"Wheeler County","05000US48483",54382.0
2014,"Wichita County, TX","05000US48485",44854.0
2014,"Wilbarger County","05000US48487",41901.0
2014,"Willacy County","05000US48489",27627.0
2014,"Williamson County, TX","05000US48491",72118.0
2014,"Wilson County","05000US48493",65760.0
